ARO_ID	Gene_Name	AMR_Gene_Family	Drug_Class	Resistance_Mechanism
ARO:3000830	cpxA	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminocoumarin antibiotic;aminoglycoside antibiotic	antibiotic efflux
ARO:3003550	mdtP	major facilitator superfamily (MFS) antibiotic efflux pump	disinfecting agents and antiseptics;nucleoside antibiotic	antibiotic efflux
ARO:3003549	mdtO	major facilitator superfamily (MFS) antibiotic efflux pump	disinfecting agents and antiseptics;nucleoside antibiotic	antibiotic efflux
ARO:3003549	mdtO	major facilitator superfamily (MFS) antibiotic efflux pump	disinfecting agents and antiseptics;nucleoside antibiotic	antibiotic efflux
ARO:3003548	mdtN	major facilitator superfamily (MFS) antibiotic efflux pump	disinfecting agents and antiseptics;nucleoside antibiotic	antibiotic efflux
ARO:3003576	eptA	pmr phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration
ARO:3006877	EC-16	EC beta-lactamase	cephalosporin	antibiotic inactivation
ARO:3006876	EC-15	EC beta-lactamase	cephalosporin	antibiotic inactivation
ARO:3006875	EC-14	EC beta-lactamase	cephalosporin	antibiotic inactivation
ARO:3006874	EC-13	EC beta-lactamase	cephalosporin	antibiotic inactivation
ARO:3006878	EC-18	EC beta-lactamase	cephalosporin	antibiotic inactivation
ARO:3006881	EC-8	EC beta-lactamase	cephalosporin	antibiotic inactivation
ARO:3004290	Ecol_ampC_BLA	ampC-type beta-lactamase	cephalosporin;penam	antibiotic inactivation
ARO:3006880	EC-5	EC beta-lactamase	cephalosporin	antibiotic inactivation
ARO:3006879	EC-19	EC beta-lactamase	cephalosporin	antibiotic inactivation
ARO:3001214	mdtM	major facilitator superfamily (MFS) antibiotic efflux pump	disinfecting agents and antiseptics;fluoroquinolone antibiotic;lincosamide antibiotic;nucleoside antibiotic;phenicol antibiotic	antibiotic efflux
